,ntrials,mse,sens_sim,bias_sim,sigma_sim,pc_sim,pe_sim,sens_fit,bias_fit,sigma_fit,pc_fit,pe_fit
0,100,1387.2100750460022,1,-5,0.0,-1,-1,-2.9329156926066053,-197.0543594695863,9.373380265375474e-06,-157.38286707069474,155.28635743206925
1,100,3.1198017126155366,1,-5,0.0,-1,0,102.18328237465425,-133.46885985677991,6.799079424235905e-06,-35.08737646830522,37.01128588961804
2,100,0.013048809915094588,1,-5,0.0,-1,1,3.8992460022528466,-92.61784034378012,1.3946677015175236e-05,-86.54592561152452,76.01390372092607
3,100,7.3344436092406584e-09,1,-5,0.0,0,-1,-3.2480716162986654,-6.165642828949804,1.8894590206726312e-05,2.3893771805555892,3.075069762436985
4,100,0.021848735342204724,1,-5,0.0,0,0,-13.854578741197432,-71.65278390593932,1.1497778534355053e-05,-68.9440055614876,-18.191555144677874
5,100,71.86244943772641,1,-5,0.0,0,1,309.30118891571743,-454.006247174733,1.1524553354083788e-05,149.88509119225887,-143.37348057795
6,100,56.81042160249467,1,-5,0.0,1,-1,-15.177991156329329,-43.3767544636022,1.107032540037037e-05,8.241939370603804,-34.59477602900568
7,100,1.5736480194042442e-07,1,-5,0.0,1,0,-3.1245332433641875,-6.42023173538885,1.0966611639940011e-05,2.368921538401669,2.748387115521299
8,100,0.1463486292428812,1,-5,0.0,1,1,2.3699840766806326,-24.527736603563618,6.663928156658499e-06,-18.451262452301076,-18.335688237031757
9,100,23407859.238656484,1,-5,0.01,-1,-1,-7.494613362995344,-11414.424198047582,3.490523243030632,-4680.654101953073,1673.7070820910308
10,100,0.01443414455405694,1,-5,0.01,-1,0,0.7637573467699956,-9.818791064880854,1.2943931885504758e-05,-6.960663766096905,2.15663420346049
11,100,68.26468832402611,1,-5,0.01,-1,1,1.112986070161897,-99.69619614372529,2.285742721672056e-05,-87.62872531842982,41.47219370307751
12,100,2590.28292577361,1,-5,0.01,0,-1,-14.547380370354876,-113.05589967314685,1.2031856719117222e-05,-63.087400533863985,35.27168452372225
13,100,0.001551281862074577,1,-5,0.01,0,0,-2.3189149609533644,-8.093626682574675,1.5147843559458159e-05,1.7320022118013798,2.793245408855409
14,100,0.09560811560127407,1,-5,0.01,0,1,5.40019112085262,-11.169537915745984,8.156022188067997e-06,-4.3466949347406105,6.6543880126290365
15,100,0.12374435807789505,1,-5,0.01,1,-1,0.3265510401018633,-483.80989425942545,1.0904675440127394e-05,-478.8177258181843,-478.67404462683214
16,100,6.413437474049704,1,-5,0.01,1,0,6.526887850897522,-56.396521507587515,1.0317443505196423e-05,11.177582958684862,-45.782131871869865
17,100,0.001053404610794599,1,-5,0.01,1,1,-6.175236181541474,-4.180938293927177,1.3062163153618468e-05,9.508110781301138,3.31702691782923
18,100,0.17037356261025188,1,-5,0.05,-1,-1,2.726729768313436,-12.152140987432158,1.4421868919483698e-05,-7.504677286163839,1.0772774751056
