,ntrials,mse,sens_sim,bias_sim,sigma_sim,pc_sim,pe_sim,sens_fit,bias_fit,sigma_fit,pc_fit,pe_fit
0,100,3.0540213049019034,1,-5,0.0,-1,-1,-1.393870185272917,-191.80030679786546,7.679643542777475e-06,-191.61595287160364,126.30732430288148
1,100,371.58501990045175,1,-5,0.0,-1,0,49.356791116728594,-117.53400115399359,9.348930965383232e-06,-51.02223517118984,37.01128588961806
2,100,0.7861768381182241,1,-5,0.0,-1,1,3.9485624621468105,-92.81343087172911,1.0176371058316408e-05,-86.35033508357698,76.01390372092607
3,100,7.334443607013089e-09,1,-5,0.0,0,-1,-3.2480716162986654,-6.165642828949804,1.1911621590240644e-05,2.3893771805555892,3.075069762436985
4,100,0.20946518216039778,1,-5,0.0,0,0,-12.032941835868403,-70.58516274175979,1.3001814717097463e-05,-70.0116267256679,-18.191555144677874
5,100,2306.5634903061473,1,-5,0.0,0,1,295.21568838044567,-466.1815847049945,9.757556608770146e-06,149.88509119225887,-131.19814304771876
6,100,12.418050262942483,1,-5,0.0,1,-1,-39.02091360377822,-41.012954088318395,1.144454567830756e-05,8.241939370602845,-36.95857640429512
7,100,1.0942564087747333e-07,1,-5,0.0,1,0,-3.4416592496198137,-7.210265714628701,1.4608087271033604e-05,2.440555468406728,2.8838587346337983
8,100,0.013492815927451614,1,-5,0.0,1,1,2.49227845693949,-24.489659593705287,2.1364249499378003e-05,-18.446744570225665,-18.37828312896499
9,100,23679843.036868878,1,-5,0.01,-1,-1,18.88721161122566,-11412.884148133518,38112.69715966522,-4682.194151867347,1673.7070820910308
10,100,0.0005182997921092825,1,-5,0.01,-1,0,0.6845537826952781,-9.828833130676927,7.715276780151881e-06,-7.033245758867228,2.143909962808995
11,100,26812.745099485583,1,-5,0.01,-1,1,0.28097676484863965,-179.69726773153815,1.4028110549364742e-05,-7.627654495088894,41.47219370307751
12,100,252.8611565992262,1,-5,0.01,0,-1,-125.63737922895776,-92.97483119202501,8.550207385162482e-06,-83.1684690446191,35.27168449404765
13,100,0.0026035343388937683,1,-5,0.01,0,0,-2.3189149609533644,-8.093626682574675,9.839580859381983e-06,1.7320022118013798,2.793245408855409
14,100,0.15791459150103707,1,-5,0.01,0,1,5.535812804291501,-10.877689598634454,2.6278678651354705e-05,-4.644345208522924,6.658886094942981
15,100,10.634002599194968,1,-5,0.01,1,-1,0.6355014237644521,-484.9286950790146,9.861706934557442e-06,-478.2740860363068,-478.09888358916004
16,100,0.008415728873344103,1,-5,0.01,1,0,5.709640453925387,-54.92108970138996,1.0363216888644045e-05,11.177582958684841,-47.257563678068244
17,100,0.0020414100591934488,1,-5,0.01,1,1,-6.175236181541474,-4.180938293927177,8.249446439327115e-06,9.508110781301138,3.31702691782923
18,100,0.0208589986836765,1,-5,0.05,-1,-1,2.8847470387644076,-11.918854928767283,1.2924514091789994e-05,-7.763188112248053,1.0957950411002895
19,100,227949.9283708029,1,-5,0.05,-1,0,6.844905038272593,-505.00013837773497,9.498854917905662e-06,-5.007178607903389,-2.706747626173458
20,100,0.0569775491036568,1,-5,0.05,-1,1,4.150702340481425,-38.51517057264442,1.2823947255591134e-05,-32.93324160587902,27.99654911133583
21,100,0.0158080571860126,1,-5,0.05,0,-1,-2.9548685630531564,-7.517167344140218,1.262357778151986e-05,1.9185576879254553,3.015660405931132
22,100,70.60618128993889,1,-5,0.05,0,0,3.9836801273307145,-92.32853475733629,1.620120764622266e-05,-76.10492466227713,38.61467721157696
23,100,0.04265865736507596,1,-5,0.05,0,1,2.042456047810413,-18.662421109952895,1.2433461034501897e-05,-13.54741752375874,-13.726956006798305
24,100,0.020251154848258488,1,-5,0.05,1,-1,0.17825102525409614,-17.359895200848143,1.1240338101182987e-05,2.8995495236311686,-14.297136598492713
25,100,0.01759569363997227,1,-5,0.05,1,0,-1.8846608013550468,-8.052959912113051,1.2388355695840046e-05,1.7256899041415383,2.797571953626467
26,100,0.041140405041143184,1,-5,0.05,1,1,564.242487261052,-598.6228268334357,1.1621161120318999e-05,-48.45254232696582,-7.269152290113805
27,100,0.13645161851129067,1,-5,0.1,-1,-1,2.2939506321168945,-12.39576346180205,8.313914118519018e-06,2.4084863852880973,-9.478907718870246
28,100,8.359117608663512,1,-5,0.1,-1,0,1.6683088524500245,-19.825270048654062,1.0090563802808744e-05,-11.933689167434498,-13.15568151363783
29,100,0.2479409213780506,1,-5,0.1,-1,1,1.3194789817682977,-7.611860276536353,1.5283657474806473e-05,-3.4974950265069706,-2.725898845126098
30,100,0.07866653921825244,1,-5,0.1,0,-1,3.7584859330593527,-341.7511818489946,1.8595826762746176e-05,-335.15753278730506,653.3711028167197
31,100,24.31956438356899,1,-5,0.1,0,0,-0.6229746301484029,-20.922162545106072,8.772572074978834e-06,-12.869078029494714,-13.602087789766722
32,100,5.027690920879241,1,-5,0.1,0,1,190.20037122092677,-164.58922409710573,1.2381277270512811e-05,13.73689431066046,42.76152708532094
33,100,1667.8330323974837,1,-5,0.1,1,-1,-1.5953208725242294,-60.10924438259559,0.02088406750068966,-4.033177050163756,-1.8486044784955697
34,100,54450.374930017264,1,-5,0.1,1,0,141.02212708428,-419.89082344521796,8.851442547204363e-06,8.224934259964185,-47.973046107456696
35,100,0.10640501893146473,1,-5,0.1,1,1,-3.2294464298467576,-6.3111221016420345,1.0753372740851373e-05,2.117979153567242,3.0737728331267324
36,100,2.127344942318319,1,0,0.0,-1,-1,1.1423446463950653,-1.617353001950995,8.684791772616394e-06,-0.7666092200810539,-0.49925048404094496
37,100,19.648304981539617,1,0,0.0,-1,0,1.9999063094633251,-4.921279325931287,1.1113457976926399e-05,-1.1877080150369148,0.044373137545194265
38,100,3.1619440170819604,1,0,0.0,-1,1,1.1143166500194497,1.226517080601151,8.819718436206874e-06,-0.9070114073909414,0.8078237794155357
39,100,0.011916179880103638,1,0,0.0,0,-1,3.8040680143694434,-1.15002746368508,6.940757414525141e-06,0.6358022242191378,-1.470513074920481
40,100,0.12413000504759371,1,0,0.0,0,0,0.5389723678630414,0.4047010415734191,1.1156576146544533e-05,5.8410247617238134e-05,0.28842583118915277
41,100,0.006073789975377886,1,0,0.0,0,1,0.7750458531080077,-0.37381139234439065,7.484088999004514e-06,0.3842332129549391,1.666331944725922
42,100,1.0521856207641271,1,0,0.0,1,-1,0.21083425413032014,1.158881943029231,8.674637513800568e-06,2.0510086258347413,-1.0847205299462115
43,100,1.1994851366974875,1,0,0.0,1,0,1.6858523841483737,-1.7008453703590474,6.859181289351739e-06,1.1043783116003747,0.08359568620669117
44,100,0.0863412857791114,1,0,0.0,1,1,1.4010971467338602,0.0435586069390121,1.0869600610996984e-05,0.7268154086605404,1.1851418441635961
45,100,0.6247637062187873,1,0,0.01,-1,-1,1.2524695445638678,-0.8763521004282382,1.1393760855249372e-05,-1.0868440801407036,-1.7505131448800506
46,100,0.08847157675009157,1,0,0.01,-1,0,0.630088432734624,-0.21133020534971422,1.1256881959973407e-05,-0.6874028135890539,0.005954953595852502
47,100,0.0005754461114582251,1,0,0.01,-1,1,1.2344802108248611,0.26418670496780144,9.387116583688365e-06,-1.9044629924913827,1.2871346600054676
48,100,0.0020334800196474614,1,0,0.01,0,-1,2.671989588497394,-0.7919294656224997,1.2998206252309846e-05,0.10402583006058691,-1.4641393608995836
49,100,0.0017440722831719763,1,0,0.01,0,0,1.4559042451591684,-0.12131087192712112,7.25386758278954e-06,0.49638135293795255,0.03598777160435915
50,100,0.01657021004944909,1,0,0.01,0,1,1.519761796004654,-0.4042969618450623,1.089752143006957e-05,0.062096309181942165,0.5929813562417751
51,100,77.95923539239585,1,0,0.01,1,-1,2.5142262921678435,-9.43881491956118,1.2697162330191099e-05,1.2469645467214443,-1.8406361216129128
52,100,2.852287917063663,1,0,0.01,1,0,1.9935566546081416,1.5813242061828543,1.1482711540037015e-05,1.3036574361108129,0.44430312428315977
53,100,0.0007742636879039707,1,0,0.01,1,1,0.325809928598711,0.7248531685096923,1.0346930247340298e-05,1.117916204806269,1.1954247688189776
54,100,0.9418715891299463,1,0,0.05,-1,-1,0.320647040631041,-0.5824007200084289,1.216666540287216e-05,-0.8894283114577236,-1.8851480628402384
55,100,53.042234051827336,1,0,0.05,-1,0,1.660782555102207,6.732617155485982,9.082270175099024e-06,-0.9057913470461944,-0.04639816195169164
56,100,0.16244169909105163,1,0,0.05,-1,1,1.3044640905556666,-0.034396103826510184,8.29459114904218e-06,-1.135479274364271,1.3903453839597053
57,100,0.057768461785622637,1,0,0.05,0,-1,0.3433520852595695,0.3798370646221851,1.0276327883145539e-05,0.18753419855247583,-0.8204975010806816
58,100,0.8109662541996822,1,0,0.05,0,0,1.50013823624194,-1.2228291588611917,7.758261129189556e-06,-0.1570657845222595,-0.2180253074263736
59,100,6.6232928396963935,1,0,0.05,0,1,2.4493336150745066,2.1383160649670776,8.825174859107424e-06,-0.13191452842316445,0.9596451114801499
