subj,resp,evidence,prevresp,prevconf,prevrespconf,prevsignevi,prevabsevi,prevsignabsevi
1,1,0.548059649245618,1,0.871187740252754,0.871187740252754,1,0.03870009193749,0.03870009193749
1,0,0.49070130161745,1,0.992290017940694,0.992290017940694,1,0.0961192984912355,0.0961192984912355
1,1,0.499922287567562,-1,0.0242607260906493,-0.0242607260906493,-1,0.0185973967650995,-0.0185973967650995
1,1,0.739091048597004,1,0.499620296220606,0.499620296220606,-1,0.00015542486487598,-0.00015542486487598
1,1,0.565232430593537,1,-0.970753239083497,-0.970753239083497,1,0.478182097194009,0.478182097194009
1,1,0.537548652408416,1,0.998197627939923,0.998197627939923,1,0.130464861187074,0.130464861187074
1,1,0.667915272398657,1,0.989853754779282,0.989853754779282,1,0.0750973048168324,0.0750973048168324
1,1,0.47262850162245,1,0.998575349091504,0.998575349091504,1,0.335830544797314,0.335830544797314
1,0,0.460054978187731,1,0.0545783132458515,0.0545783132458515,-1,0.0547429967551004,-0.0547429967551004
1,1,0.492169955282974,-1,-0.861873181182605,0.861873181182605,-1,0.0798900436245387,-0.0798900436245387
1,1,0.488403568210755,-1,0.0123867145098561,-0.0123867145098561,-1,0.0679578394264033,-0.0679578394264033
1,0,0.464579995078274,1,0.640357196728176,0.640357196728176,-1,0.0231928635784891,-0.0231928635784891
1,0,0.41958578530438,-1,0.818724468945663,-0.818724468945663,-1,0.0708400098434523,-0.0708400098434523
1,1,0.576009161942244,-1,0.427984500939961,-0.427984500939961,-1,0.16082842939124,-0.16082842939124
1,1,0.639919157019401,1,0.0787236407338387,0.0787236407338387,1,0.152018323884489,0.152018323884489
1,0,0.495631345023161,1,0.940657258952508,0.940657258952508,1,0.279838314038802,0.279838314038802
1,0,0.501539619290402,-1,0.470262253140748,-0.470262253140748,-1,0.00873730995367775,-0.00873730995367775
1,0,0.308187635899136,-1,0.763924859374782,-0.763924859374782,1,0.00307923858080445,0.00307923858080445
1,1,0.455378384738521,-1,0.968107419260745,-0.968107419260745,-1,0.383624728201728,-0.383624728201728
1,1,0.59602997944785,1,0.472257866123722,0.472257866123722,-1,0.0892432305229581,-0.0892432305229581
1,1,0.705263367315442,1,0.991426346025555,0.991426346025555,1,0.192059958895701,0.192059958895701
1,0,0.361168251876446,1,0.996745013867407,0.996745013867407,1,0.410526734630885,0.410526734630885
1,1,0.555841600472302,-1,0.787986960857102,-0.787986960857102,-1,0.277663496247109,-0.277663496247109
1,0,0.327651619777145,1,0.996525816782729,0.996525816782729,1,0.111683200944604,0.111683200944604
1,1,0.762266701899982,-1,0.998801654819792,-0.998801654819792,-1,0.34469676044571,-0.34469676044571
1,1,0.716596192451737,1,0.996267971010999,0.996267971010999,1,0.524533403799965,0.524533403799965
1,0,0.507877460529259,1,0.998982862758293,0.998982862758293,1,0.433192384903474,0.433192384903474
