,ntrials,n_iters,sens_sim,bias_sim,sigma_sim,prevresp_sim,prevconf_sim,prevrespconf_sim,prevsignevi_sim,prevabsevi_sim,prevsignabsevi_sim,sens_fit,bias_fit,sigma_fit,C_fit,prevresp_fit,prevconf_fit,prevrespconf_fit,prevsignevi_fit,prevabsevi_fit,prevsignabsevi_fit
0,500,200,10,0,0.05,0,0,0,0,0,0,13.692599470279273,-3.098727551390599,0.0011535702745715695,-8.844896637259735,-0.6179204196469524,1.3349587003638277,-1.4699507291203462,0.4890991915028554,-0.9365748667086077,0.6505977635413986
1,10000,200,10,0,0.05,0,0,0,0,0,0,11.58390906956428,0.10248943154710344,0.7826725761129387,0.06078741618980479,-0.39517095880783804,0.12757912694004805,0.24635478040790088,0.09813975935492697,-0.12125693643836019,0.09648857415441522
2,50000,200,10,0,0.05,0,0,0,0,0,0,10.47511336004196,-0.01620040283296978,0.5336851405900338,-0.09839706333853429,-0.09581894178490553,0.07460670450119003,0.1939005297633139,-0.04743327185190715,0.011465510482220947,-0.01479004563460007
3,500,200,10,0,0.05,0,0,0,0,0,0,10.100852206701507,-0.9259913231255862,0.00879520803226898,-0.44372374707430606,-0.5226816318143607,0.10123210336092962,1.2755063118162704,-0.5604665966055634,0.5013813553855515,0.20985777647422033
4,10000,200,10,0,0.05,0,0,0,0,0,0,11.11499842195864,-0.022824821468881564,0.5616158375057777,0.08355925519008184,-0.1318592339027045,0.11486477711053823,0.298623702899907,0.021893651223494067,0.07507962647553926,-0.027232197510938333
5,50000,200,10,0,0.05,0,0,0,0,0,0,10.468736710448747,0.08634603444719698,0.4965452404533035,0.09773372409481973,-0.08326267262642457,-0.08292174646000448,0.30752449965862005,-0.09811615046662003,-0.08855657430677806,-0.029897217127286116
6,500,200,10,0,0.05,0,0,0,0,0,0,12.773050027534918,-0.7265806238768215,0.001700574135425827,-1.5532315958015994,0.49224141329061316,0.4642946143911636,-0.19461789521216305,0.3359727387064383,0.02114431138158169,-0.363405531728158
7,10000,200,10,0,0.05,0,0,0,0,0,0,11.401652405354298,0.17897657586612511,0.8624712139516454,0.06343418618588699,-0.3023754020545857,-0.49536565103309005,0.12381793097433631,0.1685634767519095,0.1538757118781843,-0.007817010249414162
8,50000,200,10,0,0.05,0,0,0,0,0,0,11.067626102175984,-0.038786472534950336,0.6563461234928685,0.06986965728619404,-0.22723281079791421,0.00784900819465923,-0.0031119023708841963,0.2422482558890608,-0.0017297243175222595,-0.03625280257078297
9,500,200,10,0,0.05,0,0,0,0,0,0,11.922014414889809,-0.33524243599035725,0.011624312617182476,-0.15433893328515844,0.7458339849519012,-0.2776241190615741,0.6382878552699687,-1.108359425469135,-0.10452791458949907,-0.059381600174721424
10,10000,200,10,0,0.05,0,0,0,0,0,0,11.277576819173662,-0.08625466350334013,0.6012650602167016,0.07897559790463227,-0.13924085769858935,0.10602032402659808,0.05324752315016058,0.10820164621822985,0.09672357034135542,0.020980407731578023
11,50000,200,10,0,0.05,0,0,0,0,0,0,11.111232617090227,-0.027838447498894265,0.5131535277027044,0.10290687240512089,-0.14937896176758386,-0.11218757609490505,0.03584828887167912,0.09373416423870669,0.07612441677859152,-0.00904520114705876
12,500,200,10,0,0.05,0,0,0,0,0,0,14.202642362295663,0.49079026098903245,0.0031713244126865374,0.685844492226193,-0.17594305470554375,-0.018060710110246795,1.0732131817957908,-0.413560340341122,-0.31886287522628415,-0.22669316640379553
13,10000,200,10,0,0.05,0,0,0,0,0,0,11.96398319744684,-0.014742687526960991,0.3567872727943324,0.10438171593340743,-0.4090784225247439,-0.16681053360992518,0.03470539615034957,0.45467303256223585,0.11781194782275538,-0.01349626665971221
14,50000,200,10,0,0.05,0,0,0,0,0,0,10.869877557438091,0.0494564006934985,0.5151100825616638,-0.10078238849306534,-0.1306862513993294,-0.025658727760226676,0.08768056400442066,0.041981177424420806,-0.0036011956801134575,0.05814569769538583
15,500,200,10,0,0.05,0,0,0,0,0,0,9.382730655259412,-0.31079334791102836,0.0036802588197836546,0.12170435244099494,-0.5797676122254598,-0.8060735470538776,-0.21310371684189786,0.966363486390112,0.7040290387909776,0.02991477251332022
16,10000,200,10,0,0.05,0,0,0,0,0,0,9.301960397671472,0.15355550335585957,0.6687199331717657,-0.053985991125842375,0.11707294739543075,-0.08235777291625206,-0.012982382789863663,-0.18805754288128707,-0.01615271270957781,0.09291449918784017
17,50000,200,10,0,0.05,0,0,0,0,0,0,11.242975207591561,-0.05576303122243205,0.6128771637298088,0.0905700108858565,-0.1455956348400438,0.0906381690523451,0.09111868871151042,0.0619671330815198,0.027559186564990512,0.03369755792622631
18,500,200,10,0,0.05,0,0,0,0,0,0,9.365902904163319,0.9432228858186076,0.004102387739610744,1.067676515174602,-0.9308070762112103,-0.18345442820452007,-0.10990411904650547,1.5553774725955662,0.04377268070913223,0.002946519022902808
19,10000,200,10,0,0.05,0,0,0,0,0,0,10.708643055731592,-0.01151700800031681,0.6710110352946164,0.08248262462702817,-0.1869160304721603,0.13260489413295362,0.40190167135469096,0.11164223543943229,0.0503500976749196,-0.0759234508960962
20,50000,200,10,0,0.05,0,0,0,0,0,0,10.992458029813813,0.08211217037138131,0.6268385727085399,0.09733383465147119,-0.2777751531098131,0.043997529531329765,0.15820398737561364,0.20237404373510315,-0.06481154413024239,-0.0001847919291569144
21,500,200,10,0,0.05,0,0,0,0,0,0,10.260402989069723,-1.258524124300103,0.004454720008128581,-1.3511340217179422,-0.7389854676693713,0.5475812261548079,0.05999828376284174,1.280150567343352,0.026191748933583045,-0.4565984535511074
22,10000,200,10,0,0.05,0,0,0,0,0,0,11.121833263507144,-0.02098998300566235,0.5264446683316071,-0.0712465065691678,-0.10531097854982874,0.08861775451435427,0.31811093078876146,-0.016849220800268978,0.03794948443318419,-0.038176320201180516
23,50000,200,10,0,0.05,0,0,0,0,0,0,11.159725985841389,0.09361962040142062,0.6069786511477709,-0.10370987637584858,-0.10183804944588967,-0.0042784232160383824,0.19129799499837882,-0.01627902217233046,-0.10678597299204941,-0.007651266331035361
24,500,200,10,0,0.05,0,0,0,0,0,0,10.328130139757501,-0.15551978401390829,0.007488867738660938,0.9338722585608011,0.010261812124844838,0.6551851295081724,-0.3940401754367993,-1.090474804303009,-0.2684438540496223,0.7494477423212201
25,10000,200,10,0,0.05,0,0,0,0,0,0,9.612408458425802,-0.115414503327652,0.3724142773496516,0.09308472284704666,-0.06451455382822849,0.09716715075956878,0.33804795088923417,-0.025312316659562357,0.00013546556172226428,-0.10575006475559628
26,50000,200,10,0,0.05,0,0,0,0,0,0,10.556421728015213,0.07930632924070977,0.4857491031372985,-0.10128508679088065,-0.0987826159659782,0.03586944741580117,0.1339213831063103,0.01594655029059461,-0.08542233774509216,-0.01689091447938006
27,500,200,10,0,0.05,0,0,0,0,0,0,14.120985747389875,2.4928436029405923,0.018124368982163293,-0.9310281062390997,1.1956207103669745,0.6102594900980886,-0.3929373108568296,-0.04608364770764099,-0.7007553884861031,-0.286297118177815
28,10000,200,10,0,0.05,0,0,0,0,0,0,11.340315472847744,0.02248025797818602,0.6078577725744084,-0.07812246682606946,0.06642476760237637,-0.0007072225586385547,0.13747620996194823,-0.11810906933960778,-0.1935240046979123,-0.022837669010597497
29,50000,200,10,0,0.05,0,0,0,0,0,0,10.71433891147959,0.019289677399340767,0.5198322551533087,-0.0978794005378881,-0.19672491169750073,0.025041591544557984,0.16356412185670732,0.04773898315259432,0.03414668646201053,0.0582994675455094
30,500,200,10,0,0.05,0,0,0,0,0,0,12.923644115534778,0.8271748892579762,0.006800859630072929,-2.216339996717827,-0.2138902944777946,-0.7676534201748282,-1.1714849714146955,0.14203508982260057,0.582097831183057,0.8735519132520109
31,10000,200,10,0,0.05,0,0,0,0,0,0,11.035701483062912,-0.16688725853932634,0.7700805460475272,-0.05010905271246667,-0.49537651440803365,0.17393924479250727,0.10812371324161046,0.34390196875097495,0.12509647941718077,0.0225895703809717
32,50000,200,10,0,0.05,0,0,0,0,0,0,10.6549362251548,-0.13017804019309104,0.6491415657473286,0.0996445399981612,-0.056540720982090245,0.035860184379521966,0.1891514234143021,-0.024611607065641448,0.10084491342146068,-0.02200761465661251
33,500,200,10,0,0.05,0,0,0,0,0,0,8.947985909282462,0.35316795792679073,0.05374754955159611,-0.2901872402654045,0.3212503195115816,-0.0760232883368779,-0.7147315851463357,-1.132287231705275,0.02725902058508299,0.7065800699748925
34,10000,200,10,0,0.05,0,0,0,0,0,0,10.286616825988665,-0.0008700570864832763,0.5675184156750568,0.05887450744750013,-0.2083958793196979,0.08290025308105116,0.23680368307386676,0.013656250877984569,-0.015376079421439422,0.09904134040884008
35,50000,200,10,0,0.05,0,0,0,0,0,0,10.67495388449352,0.03214377913041967,0.6073798877199522,0.09375881201703128,-0.15229206009166452,-0.00490558636365295,0.14404652128162826,0.049814904826507786,-0.043392728106039474,-0.0035402057022379018
36,500,200,10,0,0.05,0,0,0,0,0,0,11.325722121407132,2.4374221155704023,0.000927816194075739,-4.424933748437493,-1.1408063891693039,-0.9376707719483267,0.479742241225848,0.3577284894682094,0.8051774470773524,0.5201243875180479
37,10000,200,10,0,0.05,0,0,0,0,0,0,10.771329633559986,0.045169664334900744,0.5835895284542064,0.0718263450598804,-0.18715418440018963,-0.12550371780657965,0.09297286839891943,0.10300050943779905,-0.07625220486535285,-0.009143326531294979
