,0
0,-0.0010459805872312985
1,-0.042904849728091436
2,-0.08476371886933283
3,-0.12662258801338488
4,-0.16842756768405204
5,-0.21022368084702883
6,-0.25201979386359785
7,-0.2938159069462377
8,-0.335612588667838
9,-0.37740926104919903
10,-0.4192059333937789
11,-0.4397503413293418
12,-0.4602947492729158
13,-0.4807861245420258
14,-0.5012776222074681
15,-0.5217691198746263
16,-0.5422606175436112
17,-0.5627496090834577
18,-0.5832381114299021
19,-0.6037307721573364
20,-0.6242234331963732
21,-0.644870487215428
22,-0.6655175412653638
23,-0.6863167837426124
24,-0.7071120736251804
25,-0.7274524842531331
26,-0.7477915954133293
27,-0.7738885053258578
28,-0.8003116442541186
29,-0.8267573120143088
30,-0.8532029792193818
31,-0.8796486464272236
32,-0.9061426158854464
33,-0.9326365853436706
34,-0.9591305550030547
35,-0.9856245247859172
36,-0.9916309741420897
37,-0.9976374233816993
38,-1.0036418573433483
39,-1.0023838472064446
40,-1.0010344072282709
41,-0.9996750476966734
42,-1.003075290530836
43,-1.0053995864489667
44,-1.0076039854387169
45,-1.0098094295220612
46,-1.0119795025028513
47,-1.014149289701861
48,-1.0163063382455615
49,-1.0152823748249344
50,-1.0078737130150963
51,-1.0004651674760585
52,-0.9930731540213503
53,-0.9856827089440158
54,-0.9782922638666837
55,-0.9767702099837081
56,-0.977404275979884
57,-0.9780440438657345
58,-0.978704097825104
59,-0.9785253688078844
60,-0.9783466397905257
61,-0.9780732056009525
62,-0.9768866285662541
63,-0.9836532485566655
64,-0.9859294124992378
65,-0.9882051846135447
66,-0.9904809567280828
67,-0.9927580476604805
68,-0.9950351389281283
69,-0.9922009395506678
70,-0.9893667401724738
71,-0.9865322960725775
72,-0.9836981425446694
73,-0.9811347130551783
74,-0.9785712836342484
75,-0.9760078442297543
76,-0.973441409570087
77,-0.9709250957345438
78,-0.9684087205495316
79,-0.965900621025967
80,-0.9633925440714466
81,-0.9608668014626633
82,-0.9555287496828566
83,-0.9501907214599647
84,-0.9448527258595354
85,-0.9394610681650458
86,-0.9340691731538551
87,-0.9293113499499824
88,-0.9243616580871475
89,-0.9200744210799191
90,-0.9157894346769998
91,-0.9068515713901797
92,-0.8978816042462306
93,-0.8889135782959859
94,-0.8792533048699588
95,-0.869592938355457
96,-0.8599325717749662
97,-0.8502722489060938
98,-0.8404190628950706
99,-0.830170886100122
100,-0.819922910565956
101,-0.810761718170693
102,-0.8016005253052263
103,-0.7969181927984358
104,-0.7922358602928384
105,-0.7875535278215359
106,-0.7828711953589399
107,-0.7788608057428481
108,-0.7751855572615313
109,-0.7707699901861614
110,-0.7663544231129531
111,-0.7619388564458537
112,-0.7575580943703146
113,-0.7531773311823792
114,-0.747837031014071
115,-0.7419407640401681
116,-0.7360444634329806
117,-0.7186799122682138
118,-0.7013201454520124
119,-0.6839603172318252
120,-0.6666605396451604
121,-0.639754498592712
122,-0.6128485571519927
123,-0.5859426157293612
124,-0.5590356904807883
125,-0.5321287619950031
126,-0.5089457896173615
127,-0.47546805537182885
128,-0.44223874324897405
129,-0.4089219600116149
130,-0.3756081367695321
131,-0.34229441046268505
132,-0.3154902276930907
133,-0.28867803623886173
134,-0.26185577365955454
135,-0.2350337968750715
136,-0.20821182037855546
137,-0.18977246332654513
138,-0.1713331062783908
139,-0.1528938132017328
140,-0.13445452115792247
141,-0.1160150341985121
142,-0.09755616370411521
143,-0.07909729287998102
144,-0.06057644219848475
145,-0.04201885428504336
146,-0.02346120584841645
147,-0.004906826662591507
148,0.013647558721355733
149,0.03220193877241211
150,0.05075623300716679
151,0.06931052722628189
152,0.0878707722719807
