,0
0,-0.0006801506832615808
1,-0.02667626333049434
2,-0.0526723759802506
3,-0.0786684886509658
4,-0.10464571841035675
5,-0.13059457027121507
6,-0.15654342034364915
7,-0.18249227042704785
8,-0.20844581868865278
9,-0.2343993656193591
10,-0.2603529124418208
11,-0.28643256297980557
12,-0.31251221351875214
13,-0.3385866455553712
14,-0.3646610881671813
15,-0.3907355307893819
16,-0.41680997342355647
17,-0.4428841819497845
18,-0.4689568638841887
19,-0.495030595663421
20,-0.5211043280397547
21,-0.547527060240221
22,-0.5739497924878826
23,-0.6016874231756604
24,-0.6294246108101011
25,-0.6543740911270964
26,-0.6793067518606181
27,-0.7062993795519923
28,-0.7335916654551751
29,-0.7609264906799172
30,-0.7882613158551423
31,-0.8155961410308697
32,-0.8433168393950787
33,-0.8710375377592862
34,-0.8987582378126702
35,-0.9264789387377499
36,-0.940202941305305
37,-0.9539269437972472
38,-0.9676307456553006
39,-0.9839553156527886
40,-0.999997076778646
41,-1.0160091828061324
42,-1.0339172472585307
43,-1.0508997793183579
44,-1.0673431482821838
45,-1.0837865847335755
46,-1.1002182485070402
47,-1.1166465516729291
48,-1.1329282729745807
49,-1.1424888916729035
50,-1.1416167799648196
51,-1.1407446785210966
52,-1.140046173795611
53,-1.1393622205937874
54,-1.1386782673919675
55,-1.1287786422251564
56,-1.1228061129409386
57,-1.1168431594900536
58,-1.1109327160454587
59,-1.1048158705906086
60,-1.0986990251346305
61,-1.0911675293410728
62,-1.0983443032335019
63,-1.1100959353484368
64,-1.1202764273079657
65,-1.1304563505151524
66,-1.1406362737223592
67,-1.1508231802211075
68,-1.1610100895384081
69,-1.1706489282915453
70,-1.1802877670422047
71,-1.1899234244100143
72,-1.1995591014012217
73,-1.2101640147637043
74,-1.220768928686539
75,-1.2313738402838594
76,-1.2419438705716437
77,-1.2525202264099216
78,-1.2630965664908038
79,-1.2736735147818259
80,-1.2842505262501036
81,-1.2948263064600534
82,-1.3000299057668276
83,-1.3052335168964109
84,-1.3104375162008637
85,-1.3156279387555048
86,-1.3208178420116607
87,-1.3260669129586073
88,-1.331286097133807
89,-1.3365747029004809
90,-1.3418763234922269
91,-1.3457117770373976
92,-1.3493848693218808
93,-1.3530581492957459
94,-1.3565645961723682
95,-1.36007092049697
96,-1.363577244345332
97,-1.3670835716533323
98,-1.3705792802074828
99,-1.3734410267995998
100,-1.3763028823231247
101,-1.3833000444579535
102,-1.3902972064987276
103,-1.3978596884345316
104,-1.4054221703728533
105,-1.4129846528292205
106,-1.4205471354091133
107,-1.4142252826172492
108,-1.3896431288310473
109,-1.3650140305729508
110,-1.3403849323153023
111,-1.3157558402988843
112,-1.2916895388416656
113,-1.267623237309335
114,-1.2416727933663558
115,-1.214894510666742
116,-1.188115997615834
117,-1.1631806621109695
118,-1.1382460234082368
119,-1.1133113718003746
120,-1.0884029348075785
121,-1.0595475558517937
122,-1.0306921996956633
123,-1.0018368437419936
124,-0.9729814346452141
125,-0.944126020039733
126,-0.9170480083900345
127,-0.8877540807338307
128,-0.8587257647273315
129,-0.8296823786479456
130,-0.8006392662350555
131,-0.7715964732507665
132,-0.7395373309166552
133,-0.7074775919156152
134,-0.6753993767319534
135,-0.6433211918683212
136,-0.6112430103386179
137,-0.5983692012513141
138,-0.5854953921927161
139,-0.5726224584537634
140,-0.5597495278278656
141,-0.5468765867700998
142,-0.5338157984020052
143,-0.5207550095291107
144,-0.5070730431909559
145,-0.49333081051618144
146,-0.47958811623798814
147,-0.4658468968375502
148,-0.4521056771187445
149,-0.4383644584355133
150,-0.42462420618152275
151,-0.4108839539866274
152,-0.3971428582917789
153,-0.3834017625975587
154,-0.36965430345637984
155,-0.3558974085704793
156,-0.34985973213851385
157,-0.3438220547739158
158,-0.33778438018936296
159,-0.3323520601528576
160,-0.32689718850930494
161,-0.32144254195510663
162,-0.31598895125768445
163,-0.31059537382464864
164,-0.3053064965757872
165,-0.30001845722583304
166,-0.2946836597254174
167,-0.2893488601373463
168,-0.28400498364356147
169,-0.2786611058854609
170,-0.2733171859497292
171,-0.2679731698499185
172,-0.2626278218383792
173,-0.2572824738268377
174,-0.25165164386343564
175,-0.2460278005393602
176,-0.239770691685081
177,-0.23351358287543716
178,-0.22725647406588903
179,-0.20436629817999324
180,-0.18147612229409577
181,-0.15858813454070025
182,-0.13570014678730521
183,-0.1128092795149188
184,-0.0899184121662829
185,-0.06713299936518229
186,-0.04435264363831688
187,-0.02427998482094198
188,-0.004207332519370662
189,0.01765319761645883
190,0.039538569781775015
191,0.06142450808262431
192,0.08331044638347347
193,0.10519467024945738
194,0.12694519429488588
195,0.1486957183368402
196,0.15636022426950708
197,0.16433593844600697
198,0.17232088411570148
199,0.18030582980061385
200,0.1882907925806856
201,0.19629720160819564
202,0.2043036106349207
203,0.2123100361443082
204,0.22031646164413662
205,0.22834788487529392
206,0.2363793081062549
207,0.2444105639924714
208,0.2524420019054741
209,0.2604731820522161
210,0.2671545545821035
211,0.2629598072313854
212,0.2587650494207151
213,0.25457018271613213
214,0.25037489086009485
215,0.24617949173009687
216,0.24198391972470767
217,0.2377883477193185
218,0.23351473574568551
219,0.22924288149854555
220,0.22497102667713942
221,0.22069917184369406
222,0.21936506173846154
223,0.21803095161457078
224,0.21669684149070598
225,0.20015470585991027
226,0.18361257050873994
227,0.1670704331072728
228,0.15052829535587542
229,0.13969270201637018
230,0.12885706982912085
231,0.12604141313191602
232,0.1232257552864817
233,0.11779904930007348
234,0.11237234331372437
235,0.11585942462072017
236,0.11934736165085916
237,0.1228353247624162
238,0.12632304358716698
239,0.12981077614914727
240,0.13329850871060359
241,0.13680467038785352
242,0.14030376325551058
243,0.14380190093530332
244,0.1483704951150053
245,0.15293908920826096
246,0.15666524935338355
247,0.16036969767547418
248,0.16498138618041655
249,0.169593074680537
250,0.17420476318065672
251,0.16633990229112747
252,0.1584750210602831
253,0.15061016291382087
254,0.14274530489062118
255,0.13488044686742484
256,0.12701579265059101
257,0.12472560356362165
258,0.12241267771836914
259,0.13386426959730185
260,0.14531562661405456
261,0.15676696297547688
262,0.178230770914555
263,0.21408039917915309
264,0.2498745501583697
265,0.2856687011374894
266,0.32146314935064596
267,0.3572648637064809
268,0.3722033807081198
269,0.39576723815915443
270,0.4193310956922412
271,0.44289495283348707
272,0.4671518097730018
273,0.4913970933569447
274,0.5156423912271655
275,0.5398854906154086
276,0.5641286875600356
277,0.5896017644718365
278,0.6149844899221593
279,0.6403672153724819
280,0.6657499408228031
281,0.6911326662489137
282,0.716515289037053
283,0.7418979030497982
284,0.7671607750809196
285,0.7924236471049219
286,0.8175813982641831
287,0.842738922029241
288,0.8684101883611862
289,0.8940814546609513
290,0.9160966552405256
291,0.9381118558201063
292,0.959997417814294
293,0.9816268780628551
294,0.9951709129918721
295,1.0087149489114975
296,1.0221002629285914
297,1.0355004946836694
298,1.048900725175847
299,1.0623009555449725
300,1.0756942502803994
301,1.0887913225557577
302,1.1018883667793
303,1.114984891452267
304,1.128081407694619
305,1.1516259339767914
306,1.1751677006482624
307,1.1987094284320337
308,1.2222822779413562
309,1.2458631826155957
310,1.2692863433008439
311,1.2927092271414424
312,1.3149396051780853
313,1.3372508033414667
314,1.3595620013153484
315,1.3818731992873539
316,1.4040346504577572
317,1.4261961002956756
318,1.4483573916273753
319,1.4705186829590773
320,1.4926693841458385
321,1.5148206894718883
322,1.5206357969430577
323,1.5264412131629426
324,1.5322466293638672
325,1.5383595263873584
326,1.5444724234108607
327,1.5505853201934812
328,1.5566861171819377
329,1.5627869763806161
330,1.568889909670234
331,1.5749917350563283
332,1.5810935597889912
333,1.57426028458716
334,1.5674336434062475
335,1.5605626241628203
336,1.5538263639753958
337,1.5470701691691047
338,1.5403015375710112
339,1.533497954331859
340,1.5260393694253687
341,1.5095444520723778
342,1.4930495354206021
343,1.4764558135715957
344,1.4596100625916961
345,1.442764311612222
346,1.4242427458253495
347,1.4057211784543233
348,1.3870369828198805
349,1.3683528727023722
350,1.3496687625850572
351,1.3309846524677393
