,ntrials,n_iters,sens_sim,bias_sim,sigma_sim,AR_sim,prevresp_sim,prevconf_sim,prevrespconf_sim,prevsignevi_sim,prevabsevi_sim,prevsignabsevi_sim,sens_fit,bias_fit,sigma_fit,AR_fit,prevresp_fit,prevconf_fit,prevrespconf_fit,prevsignevi_fit,prevabsevi_fit,prevsignabsevi_fit
0,10000,1000,10,0,0.3,0.99,0,0,0,0,0,0,9.95612140080634,0,0.13332783014178187,0.9838675350458141,-0.14927808069272278,0.00421086544162992,0.35694074761458017,-0.08313247388015903,-0.03477201089829665,0.01156654727116051
1,50000,1000,10,0,0.3,0.99,0,0,0,0,0,0,10.086985067238894,0,0.10283933974310532,0.9893174983860279,-0.16608762138170993,-0.05412573935766692,0.23595520045835508,0.05441060498695021,-0.05444275451753845,-0.02777962736947773
2,10000,1000,10,0,0.3,0.99,0,0,0,0,0,0,10.438193448725949,0,0.07368397988601891,0.9913823055715345,-0.05585781644179953,-0.1660623493617736,0.3376475124823577,0.047548027503114876,0.21721721624636825,-0.1115266630572899
3,50000,1000,10,0,0.3,0.99,0,0,0,0,0,0,6.781100895543942,0,0.2777927748084182,0.21768952236150854,0.6506254311728799,-0.03277238691224415,0.6051051523986533,-0.5737554974941732,-0.013725672207861552,-0.3090060642429358
4,10000,1000,10,0,0.3,0.99,0,0,0,0,0,0,9.77744661276668,0,0.07552975362048232,0.985470779417386,-0.11930752994672171,-0.1207677823639914,0.3710562599192767,0.03923347571503839,-0.04752596539089814,-0.06426314290131441
5,50000,1000,10,0,0.3,0.99,0,0,0,0,0,0,18.146505996741965,0,1.5137783363615551,0.9559669190190334,-0.8234761496016456,-0.13295046266349853,0.6503741376334459,0.534006186921701,0.004693841370274707,-0.042870456034740136
6,10000,1000,10,0,0.3,0.99,0,0,0,0,0,0,6.380696247837866,0,0.0001649877236500067,0.6148120373238269,0.6641425818090596,-0.10638633844971063,0.6902046772629634,-0.6008221955401402,0.08509168268189898,-0.30601072849150857
7,50000,1000,10,0,0.3,0.99,0,0,0,0,0,0,10.94798247925477,0,0.1916224816755922,0.9846768590635347,-0.2401476332553296,0.015747468931704832,0.17989420722924412,0.09888255942604648,0.0183145936810817,0.010142434836752276
8,10000,1000,10,0,0.3,0.99,0,0,0,0,0,0,6.618094874845498,0,0.0005855256025998118,0.6960843129084775,0.6792057960998129,-0.05991693618824119,0.6453035477559751,-0.6789614770834259,0.06800880371772813,-0.22488961301665447
9,50000,1000,10,0,0.3,0.99,0,0,0,0,0,0,6.813486381937969,0,0.01695814091801875,-0.10007082181493039,0.5687774229504506,-0.02134111583959573,0.7171181454230765,-0.6534772931701841,0.0037545942575070283,-0.23042146470042926
10,10000,1000,10,0,0.3,0.99,0,0,0,0,0,0,10.046868714651982,0,0.08855519404742153,0.9898593711739274,0.06317469142628042,0.06872005888160562,0.18473775468665804,-0.3194929269665261,-0.11610289997717145,0.10012234482701773
11,50000,1000,10,0,0.3,0.99,0,0,0,0,0,0,9.880631774973104,0,0.09031563420329182,0.9879125268456008,-0.05363274276181875,-0.014081401555867703,0.2011613125549569,-0.05278552104776357,0.00826576510920846,-0.016908213355995582
12,10000,1000,10,0,0.3,0.99,0,0,0,0,0,0,6.617687160017868,0,0.0013137346792092255,0.5038975161584679,0.7449939262122374,0.08344743641865351,0.7642914947502477,-0.6742244728502069,-0.022593479360528818,-0.32068392374208793
13,50000,1000,10,0,0.3,0.99,0,0,0,0,0,0,11.61356588625342,0,0.23662427925591428,0.9837478167477623,-0.29961367014812434,-0.03193543019521094,0.2688022731477971,0.14972845701169157,-0.01672502243779513,0.01692851689559608
14,10000,1000,10,0,0.3,0.99,0,0,0,0,0,0,10.108402960326538,0,0.06425857795012356,0.9918984831391444,-0.05657018885333194,0.11106603498678738,0.4853689143258826,-0.18255560491726355,0.07137184975867986,-0.04121334446465451
15,50000,1000,10,0,0.3,0.99,0,0,0,0,0,0,11.024842266088138,0,0.17235756188337487,0.9860517696897193,-0.1947369510891137,0.06726154319640533,0.3072569088416948,0.01417115886852806,-0.05626070090513945,0.03973637103346136
16,10000,1000,10,0,0.3,0.99,0,0,0,0,0,0,6.737810040950817,0,0.03382654705958198,-0.24374263645465252,0.7614089644229889,0.16596729011546363,0.6810386302190764,-0.7447646991432193,-0.04817145598901384,-0.32291172046749134
17,50000,1000,10,0,0.3,0.99,0,0,0,0,0,0,7.5681788641673595,0,0.658442488392994,0.15102665718039143,0.6101889302818864,0.021655645920114843,0.6278251712755774,-0.5497990478990743,-0.02527505592921226,-0.33928387239667007
18,10000,1000,10,0,0.3,0.99,0,0,0,0,0,0,10.031510013176264,0,0.07689279891539309,0.9916782068221198,-0.05233980387861602,-0.07805211958153703,0.2795019757577118,-0.18023710202005816,-0.034196738605528285,0.012621429997767879
19,50000,1000,10,0,0.3,0.99,0,0,0,0,0,0,10.152107867311024,0,0.10456891882856485,0.9887286203239672,-0.14331621503857594,-0.09147903503879605,0.18249791392589285,-0.023936847901760695,0.06197235332657398,0.04225516442532495
