,slowdrift0
0,0.02950663312619068
1,0.04896074411327681
2,0.0714875324714945
3,0.09063220770037687
4,0.10977370583174313
5,0.128207113823163
6,0.14516701947287797
7,0.16209806781153707
8,0.17433413109841903
9,0.1883241531617181
10,0.19870474424626927
11,0.20528485559016266
12,0.21385877417426807
13,0.22304547730976731
14,0.23176628357211795
15,0.2404229337238636
16,0.25276003926241647
17,0.2691247032659431
18,0.2855098015693217
19,0.29659377261175235
20,0.3074408590916269
21,0.3182804494899279
22,0.3292342922266534
23,0.33942822326328664
24,0.34966274936939357
25,0.3598961029644053
26,0.3701244962002616
27,0.3849098745737917
28,0.39973560835052496
29,0.41066321351139085
30,0.41607371190705567
31,0.421224592741754
32,0.41938042221323113
33,0.41729596441305267
34,0.4143999587486473
35,0.4076415261401067
36,0.4006984336075926
37,0.394813705051889
38,0.38731179343446914
39,0.37752092533559706
40,0.3643661948936241
41,0.3503048168845372
42,0.3397535289952837
43,0.3297214656224381
44,0.3196675886241211
45,0.3094988478199814
46,0.29765001679270087
47,0.2858104542822627
48,0.2765672042758059
49,0.26669976857773386
50,0.25637172364305727
51,0.24671950193243625
52,0.24083782934945602
53,0.23381641923744076
54,0.2231085083583568
55,0.21240048423916838
56,0.20717773812848703
57,0.2020292637333243
58,0.19693379604750608
59,0.1897942830141769
60,0.18748565185116917
61,0.1842149093616498
62,0.183861682342586
63,0.18594083583836538
64,0.19009479449971248
65,0.1895369576160476
66,0.19089218207923497
67,0.1939507270776515
68,0.19356847263954824
69,0.1919031448430112
70,0.19279494483541687
71,0.19143059785246647
72,0.1900375707180911
73,0.18880588236032333
74,0.18697522699179697
75,0.18515522421761407
76,0.1831581439645686
77,0.18116255367338915
78,0.17651264214564774
79,0.1755640653229224
80,0.17658262145080494
81,0.17471460447679604
82,0.17357045153033981
83,0.17275202958190808
84,0.17193038102236596
85,0.16812800063867633
86,0.16790476352677017
87,0.16693830183469371
88,0.16739101029897502
89,0.16663571132959223
90,0.16587136282739118
91,0.16510142266191907
92,0.1666088519068494
93,0.1659389775222139
94,0.16225698107712577
95,0.16153955241358348
96,0.15955557427073644
97,0.15756168671288012
98,0.15557761024210973
99,0.15759604821266412
100,0.15962985901317572
101,0.16166608465251256
102,0.16050262560642328
103,0.1593558001053493
104,0.1609435731062869
105,0.16077445840878496
106,0.15690553776638383
107,0.15141606291484863
108,0.14502841657160417
109,0.13954651801066975
110,0.13556896826713127
111,0.13301538230665808
112,0.13296949448876869
113,0.1329364394902322
114,0.13262645795311812
115,0.13089631211520567
116,0.13008233141767417
117,0.12925855332666183
118,0.13072302951775833
119,0.13219503457538084
120,0.13361908650562473
121,0.13441459287889532
122,0.13461432211775842
123,0.13237253794548742
124,0.13008243939606956
125,0.12781750961543975
126,0.12172525708153613
127,0.11542727947147992
128,0.11275124404476984
129,0.11006771867715831
130,0.10656498418536454
131,0.10220937093180389
132,0.09515066739808929
133,0.09191899523252371
134,0.08869876505146192
135,0.08449292252910218
136,0.08454929535346958
137,0.08461479744862747
138,0.08256415239731335
139,0.08063906442183483
140,0.07401528911671502
141,0.0638159554023174
142,0.054649208400825156
143,0.04207851133134938
144,0.028867401812578006
145,0.018585718975965653
146,0.009897040528134728
147,-3.13235812381858e-05
148,-0.009773500862145726
149,-0.01811944998089414
150,-0.029729600381322344
151,-0.04124787117177533
152,-0.052759153686279384
153,-0.0642040284986478
154,-0.0765925527010832
155,-0.08749462209331851
156,-0.09696303705139213
157,-0.10651739145979545
158,-0.11202544172931557
159,-0.1225425154008228
160,-0.13304661557350916
161,-0.14731501366950522
162,-0.15664086487543732
163,-0.16053124785529316
164,-0.16025297390333124
165,-0.15962355813079215
166,-0.15635058538480467
167,-0.15308508066096863
168,-0.15148154363008584
169,-0.14900085203544117
170,-0.1465445975407855
171,-0.14390719860016568
172,-0.1437802295474004
173,-0.14105321139537394
174,-0.13662423676851712
175,-0.13222290727300048
176,-0.1278171773761031
177,-0.12342294151964901
178,-0.11903095253045111
179,-0.11377545745470444
180,-0.10974437203765543
181,-0.10250324836486568
182,-0.09525303568209857
183,-0.08473644513009189
184,-0.0746109542164827
185,-0.0644888351212891
186,-0.058682734490234284
187,-0.04838875171147175
188,-0.036987313178526965
189,-0.025659135896483977
190,-0.014329198045332637
191,0.00024614590303301254
192,0.013094347664935216
193,0.026059277989740767
194,0.03903437633641308
195,0.04839992375274473
196,0.06088312424810857
197,0.07062948674618097
198,0.08036982684011257
199,0.08894458604009367
200,0.09753258966110791
201,0.10603391473379399
202,0.1170884078412393
203,0.130069512728244
204,0.14297152430839236
205,0.15588735543899995
206,0.16977482849066153
207,0.1805475661056641
208,0.18941182702083798
209,0.19511117314746002
210,0.20023943580862363
211,0.2089692005465783
212,0.21568638402048984
213,0.22242893525390212
214,0.2292031465861357
215,0.231444951352274
216,0.231308215567901
217,0.23412737001837058
218,0.2338751798733486
219,0.23591764659221942
220,0.2409157087104229
221,0.24444073890661583
222,0.24795204881453922
223,0.25285584620322094
224,0.25674317812089964
225,0.2583836355912634
226,0.2597263315226508
227,0.26071900968347395
228,0.25949440145996516
229,0.261519962953585
230,0.26357658317267024
231,0.2646852032475687
232,0.2647563017566216
233,0.2638007942747834
234,0.2630729144395169
235,0.2620137072739
236,0.25856382402019035
237,0.25497340120590406
238,0.2534181784631757
239,0.25390638692222117
240,0.2524432762924515
241,0.2509800789650999
242,0.249516383961793
243,0.24707521111346903
244,0.2475653619208845
245,0.2480674700613331
246,0.2470255786875845
247,0.24737881225968492
248,0.25015268095800963
249,0.25294400135292916
250,0.25646527639673805
251,0.2560733046375404
252,0.2556817081398035
253,0.25529390199622853
254,0.2550827249283807
255,0.2506640533954356
256,0.24679184729895864
257,0.24118407278695694
258,0.23785618539964473
259,0.23167205087793633
260,0.22548503446726162
261,0.2192903475294072
262,0.21695494176622662
263,0.21466604137426926
264,0.21237179696582578
265,0.2100784395521527
266,0.2065323182522604
267,0.20115934736977983
268,0.18955962125169573
269,0.17963898274231596
270,0.1697167712081318
271,0.1607962315602922
272,0.15259160098361169
273,0.14255913826323183
274,0.13507572775426868
275,0.12815637318777628
276,0.12039138346724261
277,0.11264648072722357
278,0.10836708208997871
279,0.10450533734212415
280,0.1025542575377317
281,0.09983618862934966
282,0.09585803536031795
283,0.09249420334366913
284,0.08921481962436091
285,0.08391145173755181
286,0.07863092667736708
287,0.07459707853544062
288,0.07022301074200311
289,0.0656894881615116
290,0.06020932520830745
291,0.05306852783316188
292,0.04519686573341915
293,0.037310263507272845
294,0.02995208140364152
295,0.02026151266927645
296,0.012988353998265968
297,0.007513218979651851
298,-0.00045543454668840066
299,-0.012658337351575233
300,-0.024862895441255556
301,-0.0343443675921498
302,-0.04277962649743687
303,-0.05303414595783608
304,-0.0618386684548137
305,-0.06623886350747403
306,-0.07079932083189135
307,-0.07656900553261321
308,-0.08233185902539246
309,-0.08777269253231677
310,-0.09321473481847889
311,-0.0988741676467477
312,-0.1045357473908808
313,-0.10644488053766861
314,-0.11262199442139548
315,-0.11449722683756079
316,-0.11652990130707389
317,-0.117776937108794
318,-0.1170392946650671
319,-0.11588286555957579
320,-0.1169702775326214
321,-0.11812529064722678
322,-0.11934191818136985
323,-0.11843349493915635
324,-0.11767188061459768
325,-0.11655009376861257
326,-0.1140068789296518
327,-0.11297510665113303
328,-0.11556885459544129
329,-0.11562185013304145
330,-0.11566282628999938
331,-0.1151227597043269
332,-0.11458848511992914
333,-0.1137305083052062
334,-0.11517159260817303
335,-0.11680318640364701
336,-0.1195443460157299
337,-0.12318155724658829
338,-0.12521304525386595
339,-0.1226863942160609
340,-0.11465460636466723
341,-0.10662583446054372
342,-0.09862090262509426
343,-0.09509100109306312
344,-0.09179799842132297
345,-0.08840806044022786
346,-0.08544324066027341
347,-0.08247559510204606
348,-0.07950213122901548
349,-0.07639416800982358
350,-0.07327594322608025
351,-0.07016476274831429
352,-0.06849290274828071
353,-0.0636499352260605
354,-0.05787584360992797
355,-0.054040239171524174
356,-0.05005738413344997
357,-0.04616550959326896
358,-0.043539395265826765
359,-0.04182565652501287
360,-0.039515609155043714
361,-0.03720899954177991
362,-0.03675890832433
363,-0.034750715647849095
364,-0.03278002138411446
365,-0.030792623149563544
366,-0.026275248260862437
367,-0.021772358954873814
368,-0.014394681350806585
369,-0.002787684757399914
370,0.0070595388295709655
371,0.01769152888025566
372,0.024452212449977664
373,0.030901371257278404
374,0.03888240108921322
375,0.04335441909672329
376,0.04783720898787398
377,0.04946487820440826
378,0.05143183373574366
379,0.05538054029444634
380,0.05937320109619318
381,0.06093997341317948
382,0.06252128417226867
383,0.06410275080386076
384,0.06331034818217861
385,0.06295853349749196
386,0.06572769973302015
387,0.0681822481443426
388,0.07107515637694131
389,0.07202418894038053
390,0.07478131057903195
391,0.0753356740650762
392,0.0753344448234168
393,0.07603861344526573
394,0.07518489634624176
395,0.07444515959490473
396,0.07456353687711667
397,0.07931919484730011
398,0.08941627112778297
399,0.09951805012842971
400,0.10890910514790342
401,0.11463429121196361
402,0.121447008129252
403,0.12772330897509376
404,0.1314606028180103
405,0.13520737004448788
406,0.13419774169229187
407,0.13217699264456012
408,0.13015903822016522
409,0.12591619148929742
410,0.11843574728422626
411,0.10929191478155577
412,0.10452238898598767
413,0.10422443045455787
414,0.10711212462988326
415,0.10998674325371052
416,0.11232940690601519
417,0.114304106253684
418,0.11626842279934042
419,0.11729705365239491
420,0.11548539187698874
421,0.11075969381651016
422,0.10447792412767702
423,0.09888310827035064
424,0.09398767516156074
425,0.08892552074773154
426,0.08385293869799111
427,0.08090876398030833
428,0.07678102688506766
429,0.07266400167719012
430,0.06812468546070487
431,0.06700113220939272
432,0.06859944743546888
433,0.07009715107732534
434,0.0735689827437604
435,0.0794612684950782
436,0.08018282763596937
437,0.0862099156695591
438,0.09222686071661829
439,0.09648412124467999
440,0.10072064916521112
441,0.10496246148406103
442,0.10748120052261086
443,0.11299684941114484
444,0.11598454959205881
445,0.12147170375309195
446,0.12176732782331286
447,0.11974138269168219
448,0.11797317188384228
449,0.11469736944659216
450,0.11411616883595471
451,0.11422822689684245
452,0.11918781002484004
453,0.12167303377746597
454,0.12531406992524097
455,0.1259895534513575
456,0.1276411770096613
457,0.1276767423217085
458,0.1277229182167416
459,0.12775969946162632
460,0.12856411070202636
461,0.12971193209311385
462,0.13002199857583632
463,0.13344151822499623
464,0.13838935838665686
465,0.14314599533384015
466,0.14791150830163288
467,0.15834183366934682
468,0.16878064951287516
469,0.17534660604872507
470,0.18046406331220102
471,0.18486868910209087
472,0.18501439649376616
473,0.18658263451294857
474,0.18815549048924374
475,0.18939276540649436
476,0.19057935846275756
477,0.19502689966164377
478,0.1994816874923282
479,0.20275734908142543
480,0.20602452328213636
481,0.20921426816892935
482,0.2167251476108191
483,0.2207768924366708
484,0.22753569476288135
485,0.23428727445260167
486,0.2388833215197794
487,0.2434284383882235
488,0.24796160361790748
489,0.24926461630498542
490,0.24844760253464174
491,0.24488116013061248
492,0.24135438403049503
493,0.23724409526398504
494,0.23840744394925042
495,0.2395699059790649
496,0.24387202816218634
497,0.24913869173297418
498,0.2543980522242746
499,0.2596901478806799
500,0.263728106097603
501,0.2689800832713227
502,0.2728129189314283
503,0.27414406224921767
504,0.27547468896916016
505,0.2768115884103667
506,0.2781532473133565
507,0.2795129211060909
508,0.27977254939241514
509,0.27776196135828873
510,0.27874342001305785
511,0.2798359853281835
512,0.2809305520922226
513,0.2820427892211203
514,0.281603201455831
515,0.28000962139854857
516,0.27354953960478406
517,0.27066951331837064
518,0.26844111866057974
519,0.2652768462521573
520,0.2622792676615388
521,0.258925124374951
522,0.25555501034259226
523,0.24958434379097508
524,0.24371381873270842
525,0.23784196040371466
526,0.2340123084854194
527,0.2281346539889252
528,0.2199372388243281
529,0.21121538769748097
530,0.20023303685039448
531,0.19136498956984624
532,0.18648359030245903
533,0.18123394832181858
534,0.17597625237818249
535,0.1742258053456787
536,0.1755483778585113
537,0.17377310650674282
538,0.1719180527603407
539,0.17119212337635428
540,0.1703681990966097
541,0.16981242495435409
542,0.16926914229641046
543,0.1687024382349479
544,0.16813762582193895
545,0.16489232325875347
546,0.16155048261039842
547,0.1576372657854255
548,0.1573736075029863
549,0.15587513242287762
550,0.1528439809813013
551,0.14996044999560262
552,0.14316717332023507
553,0.13637354112710032
554,0.12957643515240963
555,0.123265129294075
556,0.11694827029222143
557,0.10946833248613008
558,0.10322039363393802
559,0.0960158393069438
560,0.08580513136021858
561,0.07557112774494966
562,0.06200944998937691
563,0.048462116526862144
564,0.03632085796286627
565,0.025152654305892117
566,0.017244647416491413
567,0.0077498298097168315
568,-0.0037467483357840016
569,-0.015235577364901191
570,-0.02753049137386748
571,-0.03794651502418879
572,-0.04924152958093783
573,-0.05956513457940284
574,-0.0695578574239904
575,-0.07955143625556459
576,-0.09074970991779764
577,-0.10177620393839479
578,-0.11275300421066202
579,-0.12373097912154522
580,-0.13471403846169655
581,-0.1470754450390123
582,-0.15818173788397322
583,-0.17091671204155034
584,-0.18101426449873606
585,-0.19211103190527856
586,-0.2012282024637884
587,-0.20816675397916362
588,-0.21506601161183572
589,-0.22271715794171412
590,-0.23038582987584744
591,-0.23777337998510045
592,-0.2435797835225636
593,-0.24946644132653858
594,-0.25367321356502764
595,-0.2592597758214275
596,-0.26147878800392804
597,-0.2619483194626622
598,-0.2635670548913018
599,-0.263425888744642
600,-0.2591613744625253
601,-0.2550223212659032
602,-0.24596380258094827
603,-0.23868155311441874
604,-0.23106092152824648
605,-0.22250436556666803
606,-0.21384466694810592
607,-0.20518252725529554
608,-0.19508366615285527
609,-0.1874187359488092
610,-0.17975469814723669
611,-0.1720735634488389
612,-0.1642570104659883
613,-0.1569406668823193
614,-0.14925593575506796
615,-0.14205293535134864
616,-0.13484724079239574
617,-0.12631260069404696
618,-0.11524096304342457
619,-0.10029865021894288
620,-0.08872895269290111
621,-0.07952457643194231
622,-0.06632669024415871
623,-0.055044408828787875
624,-0.044220196988420855
625,-0.03584618680292751
626,-0.02989663841042794
627,-0.020142269509695433
628,-0.010354199521591943
629,-0.004916336749979948
630,0.0005094552175227924
631,0.007307379872552625
632,0.01626696825611299
633,0.02522741889138733
634,0.031158151318079474
635,0.0391733987818383
636,0.04629880094382002
637,0.05370859623332944
638,0.06011294884381596
639,0.06859299232061793
640,0.07707507911370468
641,0.08554588263667887
642,0.0900713131762054
643,0.09649471704212233
644,0.1029379951284372
645,0.10751705418841857
646,0.11211289520557895
647,0.1145201776619597
648,0.11470393957699813
649,0.11357140069173921
650,0.11242540745114077
651,0.1138260464575033
652,0.11563827528443499
653,0.12155269468037885
654,0.1267962768489941
655,0.1320245269977119
656,0.13818666309805722
657,0.14715817553471716
658,0.15358794990518992
659,0.16001500448237585
660,0.16998199598937463
661,0.17995228320041376
662,0.1877473000514066
663,0.1955402754221898
664,0.203282807832309
665,0.20909300960203295
666,0.21362217612693327
667,0.21877888867016465
668,0.2235412516585439
669,0.2328547783115473
670,0.2405310100259641
671,0.24842491260669108
672,0.25748235639010275
673,0.2666867665603051
674,0.2758921870643524
675,0.2815290395423907
676,0.2877931163084277
677,0.2930910410201348
678,0.2980392323053133
679,0.30480048542257226
680,0.30970072764818546
681,0.3127708962468848
682,0.3158382768955698
683,0.3189326854467448
684,0.3204787600836047
685,0.322044345272716
686,0.3261448921848114
687,0.331996203691523
688,0.3375510032363411
689,0.3413275077525238
690,0.3420010682047469
691,0.34008884754123053
692,0.3356191405430174
693,0.3293794897747971
694,0.32313127756467
695,0.3196794546930326
696,0.3173887466861047
697,0.31509717778720364
698,0.3095673565923365
699,0.3044611229761028
700,0.3008109662695562
701,0.29227990074579174
702,0.2809163912000548
703,0.26807030459760955
704,0.25755382699311513
705,0.2470081559665872
706,0.23685802142028342
707,0.230381631121692
708,0.22599281295395499
709,0.2217848392053759
710,0.21757592153585795
711,0.21337276392493393
712,0.20749151211547304
713,0.20301224890486855
714,0.19850322402788304
715,0.1939493143391475
716,0.18901220707088412
717,0.18884622968750794
718,0.18871395774383862
719,0.18728696148402582
720,0.18586051524732283
721,0.18404625556831666
722,0.18655493295290032
723,0.1873690984512613
724,0.18808899087481154
725,0.19085030871652006
726,0.19188715537532408
727,0.1929219584575041
728,0.1930447267948786
729,0.19401874166168426
730,0.1949836002955456
731,0.19645253156588957
732,0.19745019978099004
733,0.20225368544776612
734,0.20707114124580572
735,0.21546692179192728
736,0.22341655251246398
737,0.23114326289433396
738,0.2388891534654881
739,0.24662744826745847
740,0.25337137617080574
741,0.2576815946414661
742,0.258552802547989
743,0.2569652850444033
744,0.2592423138975213
745,0.2593501838637855
746,0.26168390086465776
747,0.2640379730274359
748,0.26663479829584225
749,0.26629266583280864
750,0.2649577196428314
751,0.2636286411329552
752,0.26389198260149127
753,0.2664816690018476
754,0.2688484308706457
755,0.27291869340331804
756,0.27982575629742773
757,0.28524931194711584
758,0.29083434219652904
759,0.2931339866846222
760,0.2949528095249497
761,0.29864701430150287
762,0.30230179145276725
763,0.3051745448329129
764,0.30699301410594093
765,0.3048596553639674
766,0.30364868150793944
767,0.30244546773698205
768,0.3013624299200763
769,0.29811528222689043
770,0.2970609519073058
771,0.2960338915168552
772,0.29545488666798553
773,0.2930665556902606
774,0.2897441690599404
775,0.2864203415900539
776,0.2842000871089311
777,0.28249303734846015
778,0.2774815359717856
779,0.2727101733346368
780,0.2696877526129996
781,0.2626579777267072
782,0.2535701349752225
783,0.24429305714090682
784,0.23627576549727966
785,0.2282281572671856
786,0.2209687703485958
787,0.21341778980644094
788,0.20267819955129635
789,0.1929294656983555
790,0.1871864426390713
791,0.1801898094251914
792,0.17428196298140738
793,0.1703885762646405
794,0.16633008798074786
795,0.16309789896007806
796,0.16134822264354073
797,0.1575400698176638
798,0.15636025873905543
799,0.15519132615597933
800,0.15632357057317092
801,0.15849295822134307
802,0.16064903215088347
803,0.16280440020012263
804,0.16434339562704584
805,0.16837954690902193
806,0.17242492830783834
807,0.17634802459167348
808,0.18027098856319737
809,0.18268717781939256
810,0.18552920948615298
811,0.1883725852574412
812,0.19116876687540563
813,0.19399015302027198
814,0.1943137722612665
815,0.19466545128665638
816,0.19502204951124286
817,0.19700286402121436
818,0.20133284004178212
819,0.20499350047836803
820,0.20707078673707546
821,0.20597412023613623
822,0.199775811334091
823,0.19988242227702183
824,0.2018826419995719
825,0.20282025070029364
826,0.20375889185679297
827,0.20565476622511303
828,0.20754890796728953
829,0.2074720038313647
830,0.21013627260008563
831,0.21039035571886183
832,0.21262965238339895
833,0.21050332840464073
834,0.20590777361456
835,0.20132440721952338
836,0.19837906183449516
837,0.19622305567492576
838,0.19510069702729094
839,0.1953743675137974
840,0.19384688554085508
841,0.19190178961117435
842,0.19065659654329822
843,0.1911687944930844
844,0.19096726123808233
845,0.1898437648683437
846,0.1887124368178097
847,0.1879623976161874
848,0.18722130682751142
849,0.1865904519780379
850,0.18509538492730643
851,0.18533946835770357
852,0.18651100135227971
853,0.18752108496576417
854,0.18888309129126
855,0.18713283951575718
856,0.18665702883476534
857,0.18618856298142517
858,0.18130320796363303
859,0.17640036056820022
860,0.17162285446308145
861,0.1655846902293104
862,0.15947212617546008
863,0.15305197270092105
864,0.14664280953419315
865,0.13651452334631353
866,0.12811803492592394
867,0.12129066913758113
868,0.11832377813063195
