,ntrials,n_iters,sens_sim,bias_sim,sigma_sim,prevresp_sim,prevconf_sim,prevrespconf_sim,prevsignevi_sim,prevabsevi_sim,prevsignabsevi_sim,sens_fit,bias_fit,sigma_fit,C_fit,prevresp_fit,prevconf_fit,prevrespconf_fit,prevsignevi_fit,prevabsevi_fit,prevsignabsevi_fit
0,500,200,10,0,0.05,0,0,0,0,0,0,13.22204241442419,-2.813956404544102,0.0015962375702120877,-5.442812476318912,-0.5198742165201575,1.6050368509713056,-1.3685705473792789,-0.1992759429745761,-0.40659945625056004,1.1311257173896827
1,10000,200,10,0,0.05,0,0,0,0,0,0,11.235831880742845,-1.8486621736490958,0.7630872568002252,0.06789520137473971,-0.2934268307383755,-0.09747845937142094,0.12648485551406813,0.1198861598352455,0.08455662106017374,0.04252199030553962
2,50000,200,10,0,0.05,0,0,0,0,0,0,10.542269575616382,0.013889731875499342,0.5477718275206739,-0.09645564398365829,-0.16377943667861075,0.037813688309385564,0.34267791793482555,-0.10166748820729318,-0.01801499492596178,0.0015575001729450397
3,500,200,10,0,0.05,0,0,0,0,0,0,9.591914238058216,-0.9211897791463067,0.011451096795593764,-0.12164160631168353,-0.5221664365726489,0.14966766705757625,1.1386721140757308,-0.4237850693210067,0.5062869097576748,0.1788400130329592
4,10000,200,10,0,0.05,0,0,0,0,0,0,11.037131721687599,-2.4343484950415477,0.5324982854168878,0.09961984462880942,-0.16502058493966132,-0.012684163310159157,0.4261789663469989,-0.10529090184069341,0.3869014556810986,0.10753378022709836
5,50000,200,10,0,0.05,0,0,0,0,0,0,10.326991950142897,-0.16659702128204107,0.5014292748629264,0.0982306872012706,-0.12454242403229332,-0.08392368215991682,0.3768302644563946,-0.08829887510858725,-0.07567836388582691,-0.036870325603850194
6,500,200,10,0,0.05,0,0,0,0,0,0,9.300357731062704,-0.5883105248867918,0.0016547809353063096,-2.9351905414870756,0.31561939893043917,0.3244726159382026,-0.015189625474954983,0.4697881041655826,0.2556449179002118,-0.35601981728262155
7,10000,200,10,0,0.05,0,0,0,0,0,0,11.407195883095607,0.6066568659874705,0.8412994134297268,0.07487085585614713,-0.2573644339274098,-0.398092939330225,0.1769562640202331,0.17446587500694347,0.07365813660353421,-0.0613288332195842
8,50000,200,10,0,0.05,0,0,0,0,0,0,11.231108940560489,-0.01075714801322639,0.6502953374496766,0.07370527376342473,-0.19814841832667576,0.01631692082172058,0.0026055758327416284,0.2367852774114638,-0.011276538764832793,-0.07304812059829843
9,500,200,10,0,0.05,0,0,0,0,0,0,13.178210312563508,-0.3275526253140943,0.01348266964268091,0.046652907355733256,0.848750797093971,-0.05868844862230602,0.6194563705114005,-1.1597517889323352,0.03513939087934642,-0.2099997076734495
