,ntrials,n_iters,mse,sens_sim,sens_fit,bias_sim,bias_fit,sigma_sim,sigma_fit,c_fit,prevresp_sim,prevresp_fit,prevconf_sim,prevconf_fit,prevconfprevresp_sim,prevconfprevresp_fit
0,500,50,20.307975124906385,10,4.2917991787173895,-5,-2.107420433986919,0.5,1e-08,-0.8324103245336516,0,1.3195857605746155,0,0.039357359222907215,0,-0.28747804450324616
1,500,50,11.982376360441547,10,4.678614311529951,-5,-2.335039826353745,0.5,1e-08,-0.9872923361932322,0,0.815234699709114,0,-0.14490981479355503,0,-0.09690680321704612
2,500,50,17.818255637520917,10,4.548228608492461,-5,-2.2767517768885637,0.5,1e-08,-0.7980105892742878,0,1.635045709968343,0,0.00211553137616818,0,-0.5913583982673812
3,500,50,45.39811045491638,10,2.754786730751259,-5,-1.3938563805324768,0.5,1e-08,-0.7736218329694481,0,2.6718576758831043,0,-0.2030155437357812,0,-0.2716293650349473
4,500,50,3.747163107356619,10,6.162659961180995,-5,-3.3654925242308718,0.5,1e-08,-0.6856853738425586,0,0.46129931271024427,0,0.2102442430794465,0,-0.10196768458022454
5,500,50,12.63953186098353,10,5.226269533426346,-5,-2.582556784200266,0.5,1e-08,-0.8625171819849231,0,1.3254300115336553,0,-0.11217144760432486,0,-0.36662049374081435
6,500,50,23.661311919962873,10,5.395898788102226,-5,-2.456594767625606,0.5,1e-08,-0.862449502284353,0,1.651181643261678,0,-0.035944030352241384,0,-0.48283796909687915
7,500,50,4.389279037308001,10,6.80162248326522,-5,-3.469487703687467,0.5,1e-08,-0.7340287052792122,0,0.4034111335210535,0,-0.07343620275001042,0,0.07786961991969121
8,500,50,14.40193510401056,10,5.170922113198509,-5,-2.6031343663368154,0.5,1e-08,-0.6734054615084445,0,1.5362945100217202,0,0.2275865410878135,0,-0.17908100019278617
9,500,50,6.365289827408149,10,5.503184906703052,-5,-2.5057377313841775,0.5,1e-08,-1.0396078499777401,0,0.45659625523234204,0,-0.4978571196190447,0,0.08946007635181241
10,500,50,11.592896765594864,10,5.905036762351967,-5,-2.9592585451131006,0.5,1e-08,-0.8782052794450432,0,1.3040776277145463,0,0.15751065135269035,0,-0.47873546054316796
11,500,50,37.76073853898691,10,3.697200949429624,-5,-1.9885809494204136,0.5,1e-08,-0.9094996182207378,0,1.7651258957338922,0,-0.11053577662663812,0,-0.46306823984889256
12,500,50,15.819692450353877,10,4.581582387343435,-5,-2.3212439471118764,0.5,1e-08,-0.9033499912481807,0,1.3694990963852574,0,-0.02079752126876798,0,-0.67868632428374
13,500,50,84.68688524716835,10,3.3515461993120548,-5,-2.051194971735462,0.5,1e-08,1.0458853944665059,0,2.5459519676646143,0,0.07765419561746857,0,-0.49969995028558056
14,500,50,6.492960127933574,10,6.600286433866291,-5,-3.3390566605312575,0.5,1e-08,-0.5813724106521723,0,0.8998563508923986,0,-0.26562764003263617,0,-0.3310219718277513
