,ntrials,n_iters,mse,sens_sim,sens_fit,bias_sim,bias_fit,sigma_sim,sigma_fit,c_fit,prevresp_sim,prevresp_fit,prevconf_sim,prevconf_fit,prevconfprevresp_sim,prevconfprevresp_fit
0,500,50,20.307935477889444,10,4.302864450232456,-5,-2.056345127681258,0.5,1e-08,-0.9833191406101756,0,1.319805043080592,0,0.04913699225903249,0,-0.2867675773345416
1,500,50,11.982250548942117,10,4.714621143076592,-5,-2.2825930783212955,0.5,1e-08,-0.9838808152358793,0,0.8191054776600376,0,-0.13223426665772703,0,-0.0981555409957552
2,500,50,17.8181367632285,10,4.53603157384774,-5,-2.3392389345559543,0.5,1e-08,-0.9841661664730792,0,1.6366877146078251,0,-0.011329145350332229,0,-0.5940591545110795
3,500,50,45.39773466607535,10,2.759315849631669,-5,-1.4177156574922016,0.5,1e-08,-0.9986344945134187,0,2.6708176941794624,0,-0.19895918529163914,0,-0.270402242447701
4,500,50,3.747085977994526,10,6.1855634486719175,-5,-3.378412955977169,0.5,1e-08,-1.0026073514634781,0,0.4620393248050618,0,0.21327368993108514,0,-0.10192492741713724
5,500,50,12.639330055264296,10,5.2208405995114235,-5,-2.5744932702701755,0.5,1e-08,-0.997216121222732,0,1.323696346816997,0,-0.10093350583434658,0,-0.36597070555972605
6,500,50,23.65951022333413,10,5.4723042068320495,-5,-2.421333668282118,0.5,1e-08,-0.9914355728367263,0,1.663944665195516,0,-0.038710369643994165,0,-0.485906524097392
7,500,50,4.389264864071724,10,6.824963847405917,-5,-3.4972975200832006,0.5,1e-08,-1.0062258347925555,0,0.404836632704083,0,-0.08330696286901043,0,0.07772303266791407
8,500,50,14.401822493232011,10,5.170458435627736,-5,-2.5755705817965744,0.5,1e-08,-1.0160831208993297,0,1.5354915390835338,0,0.23949514428047064,0,-0.17842594753487373
9,500,50,6.365356270171501,10,5.524364884018016,-5,-2.433374652794819,0.5,1e-08,-0.9883178896740347,0,0.4570270437289444,0,-0.49656850875053565,0,0.08978744044705517
10,500,50,11.592169119083831,10,5.895654880131832,-5,-2.9646258165780517,0.5,1e-08,-1.0023706717392455,0,1.3027545144958008,0,0.15998486924867167,0,-0.47796157855652716
11,500,50,37.760683812088324,10,3.723946690143835,-5,-1.9489781152223085,0.5,1e-08,-1.0236606267763673,0,1.7651515403232059,0,-0.09707753431381778,0,-0.45867188510182233
12,500,50,15.816710645704106,10,4.59018099861399,-5,-2.310279965337406,0.5,1e-08,-1.0219771478045006,0,1.371985577185515,0,-0.031742211442235706,0,-0.679840181271212
13,500,50,84.68642116961149,10,3.3813549205299913,-5,-2.0346793612764573,0.5,1e-08,0.9911707382678581,0,2.5492796247419562,0,0.09203078604738126,0,-0.5015357648153844
14,500,50,6.492916449290805,10,6.579190488670616,-5,-3.366427017695518,0.5,1e-08,-0.9847055338440708,0,0.8992489398284527,0,-0.27655046890921786,0,-0.3325314652713476
