,ntrials,n_iters,mse,sens_sim,sens_fit,bias_sim,bias_fit,sigma_sim,sigma_fit,c_fit,prevresp_sim,prevresp_fit,prevconf_sim,prevconf_fit,prevconfprevresp_sim,prevconfprevresp_fit
0,500,50,20.307919384094745,6,2.9824874184689696,-3.0,-1.2946529713571553,0.5,1e-08,-1.002832450417906,0,1.616618938708068,0,-0.1206281319492887,0,-0.3091994550961136
1,500,50,11.982249350398702,6,2.5393825862616946,-3.0,-1.2920622121335597,0.5,1e-08,0.9941195786306538,0,1.0233704712998908,0,-0.05013049183898965,0,0.022412652494517238
2,500,50,17.818137727452516,6,2.2416266757504015,-3.0,-1.1529410284358048,0.5,1e-08,1.0092241041993173,0,1.7162804407530083,0,-0.05066385648713598,0,-0.20211870250270275
3,500,50,45.397778796098514,6,1.3769581231878263,-3.0,-0.7552148936062122,0.5,1e-08,1.0052788732507418,0,2.9632060535600275,0,-0.1977059022703164,0,-0.28218773312308887
4,500,50,3.747084898130563,6,4.1254685644294655,-3.0,-2.2472282015733156,0.5,1e-08,-0.9968881346142657,0,0.5832960850753557,0,0.1663443812528035,0,0.013919670842230312
5,500,50,12.639322552072102,6,3.623656066653643,-3.0,-1.793048009238714,0.5,1e-08,0.9992527302409955,0,1.3683270009561601,0,-0.1614200380074369,0,-0.1632480657241576
6,500,50,23.659515614311942,6,3.227104373950711,-3.0,-1.2592005951720695,0.5,1e-08,-1.0126465809166252,0,1.5314972708153651,0,-0.24971954077573807,0,-0.33510513499593597
7,500,50,4.389258689589394,6,4.195335563829467,-3.0,-2.2442146532326475,0.5,1e-08,1.0042107587483742,0,0.6056649426565425,0,0.16441951620689288,0,0.13563157595227054
8,500,50,14.40181920679798,6,2.848659887416245,-3.0,-1.3744617362759057,0.5,1e-08,-1.0173996662639853,0,1.48226580817777,0,0.017717685859581542,0,0.06815428316387953
9,500,50,6.365340374309793,6,3.538534482661013,-3.0,-1.6455163250008746,0.5,1e-08,-0.9945462971961625,0,0.9493493303824957,0,-0.31895281288234323,0,-0.09555940736078321
10,500,50,11.592156265410019,6,3.7122093559562535,-3.0,-1.8625149231448248,0.5,1e-08,-0.994465333045248,0,1.0917021018140256,0,0.38626391756861034,0,-0.293680926362531
11,500,50,37.76067805886384,6,2.285004424074652,-3.0,-1.252062531197563,0.5,1e-08,0.992527470245774,0,1.8937432411064161,0,-0.09821385186943685,0,-0.31446663176796824
12,500,50,15.816703571249585,6,3.593120169351909,-3.0,-1.87892065544407,0.5,1e-08,-1.0217276517268372,0,1.3190326393199059,0,0.03529627428108871,0,-0.5743775023916268
13,500,50,84.68645151855517,6,1.967659709634352,-3.0,-1.246773129959872,0.5,1e-08,1.001196090030858,0,2.79103835964949,0,0.017590263719224803,0,-0.4665859120305622
14,500,50,6.492901142499183,6,3.999156408896554,-3.0,-2.0886221934712426,0.5,1e-08,-0.9813133494909724,0,1.0138007840621046,0,-0.10363284853587261,0,-0.18209873383966557
