,ntrials,n_iters,mse,sens_sim,bias_sim,sigma_sim,pc_sim,pe_sim,sens_fit,bias_fit,sigma_fit,pc_fit,pe_fit,C_fit
0,500,100,1.0171157637751556,10,-5,0.1,1,-1,10.081294756312534,-6.071463833273493,0.09106540311623519,1.1961983042022866,-0.5901632180741107,-0.30097399330716634
1,5000,100,0.30978437659784686,10,-5,0.1,1,-1,11.182659916294842,-5.709581069461035,0.34110392860814587,1.053678356299595,-1.1888756506299358,0.2674480371983677
2,15000,100,0.27601944676467066,10,-5,0.1,1,-1,10.835008571062824,-5.222964587881651,0.24788585793475806,1.0866224037398529,-1.2139676658718848,-0.3588392406210601
3,25000,100,0.22941929738690306,10,-5,0.1,1,-1,10.42114134489018,-5.090361315366425,0.27975991736608163,1.0449276393592837,-1.0642770930941279,0.3289003635421284
4,500,100,0.26295800695495575,10,-5,0.1,1,-1,8.491556028126194,-4.306438811595688,0.0629659853741119,0.9512521972571378,-0.8599757701987434,-0.28846296850910064
5,5000,100,0.27070926603168577,10,-5,0.1,1,-1,11.008552854457298,-5.351047720997083,0.3972077065580707,1.0036800389553258,-1.1700041793714404,-0.2816435349508786
6,15000,100,0.24811132782459502,10,-5,0.1,1,-1,10.392046733146072,-5.208645581686261,0.20593217106302997,1.0198038459316106,-1.1831872925728535,0.3879944943553691
7,25000,100,0.2461857525689043,10,-5,0.1,1,-1,10.022630379275991,-5.142055114197161,0.15755180957854842,0.9770842125087476,-0.9742859029187801,0.5528431019406196
8,500,100,0.28793188541436626,10,-5,0.1,1,-1,9.528574535035819,-4.961979916578508,0.039401027851503054,1.156883438112488,-1.3922306178494244,0.6464033745117823
9,5000,100,0.4723687467950027,10,-5,0.1,1,-1,9.913977039748712,-4.57103667115632,0.18091781091735945,0.9594638917610593,-1.0986282023426377,-0.43596757446896783
10,15000,100,0.4140383212399925,10,-5,0.1,1,-1,10.175100105331984,-5.0734642811989525,0.14909256112837413,1.004954814125729,-1.0815886388501406,0.7475823830814737
11,25000,100,0.3394923058355908,10,-5,0.1,1,-1,10.40810587196737,-5.106113800295667,0.1835476968770346,1.066011750812891,-1.0353284330916215,0.5005741536750881
12,500,100,6.095645726938477,10,-5,0.1,1,-1,11.548709738771164,-8.277022988112321,0.10384148620579983,1.3991026556103527,-1.3741127362492505,-0.5287080667384589
13,5000,100,0.18606589095862616,10,-5,0.1,1,-1,11.18929018386443,-5.676712526656759,0.2888581551072638,1.2334113410472998,-1.1883355171264838,-0.2377118617048861
14,15000,100,0.20043904856615694,10,-5,0.1,1,-1,10.40081253307582,-5.247450141894291,0.45339795209586065,1.0090660129068656,-1.1332365846985155,-0.16103786251259172
15,25000,100,0.1831886655005319,10,-5,0.1,1,-1,10.504172628361301,-5.249685606174765,0.4468095898485891,1.066821152123053,-1.0472275175695769,0.19034801934418066
16,500,100,0.16349655848110414,10,-5,0.1,1,-1,9.254530507145661,-5.024060672073051,0.05992334005999028,0.8512315395935093,-0.6851099808813312,0.03485609249569111
17,5000,100,0.24010737300382165,10,-5,0.1,1,-1,10.094305109511334,-4.928787692038413,0.31082798596057537,1.0527926471563362,-0.9377593379614738,0.26365558535093536
