,ntrials,n_iters,mse,sens_sim,sens_fit,bias_sim,bias_fit,sigma_sim,sigma_fit,c_fit,prevresp_sim,prevresp_fit,prevconf_sim,prevconf_fit,prevconfprevresp_sim,prevconfprevresp_fit,prevsignevi_sim,prevsignevi_fit,prevabsevi_sim,prevabsevi_fit,prevsignevi_prevabsevi_sim,prevsignevi_prevabsevi_fit
0,500,200,3.249253538943776,8,7.093650305825386,-4.0,-3.694940397980222,0.2,1e-08,1.1053065727835463,0,0.834473257214554,0,0.2807612817462748,0,2.825370465409716,0,-1.5107067844818014,0,-0.7297867368117062,0,-3.3078423784031905
1,500,200,1.9171592559144013,8,6.565684850759741,-4.0,-2.9735524360933328,0.2,1e-08,0.9989570680968375,0,0.14563460838381714,0,-0.08383615859430708,0,2.6351611399629697,0,-0.7233654856278496,0,-1.0801420050248731,0,-4.3533454446574735
2,500,200,2.850888597965335,8,5.983296681073426,-4.0,-3.0380376797555617,0.2,1e-08,1.0376131777848305,0,0.46009572376937097,0,0.12498634796095398,0,2.8937911588410987,0,-1.2255116375472297,0,-0.36609970791654783,0,-3.0291071760472024
3,500,200,7.263549304266767,8,5.222621405212873,-4.0,-2.6303704093549394,0.2,1e-08,1.0390290630764447,0,1.0025945944186478,0,-0.2217884169931325,0,3.7333940495312996,0,-3.305394888699362,0,1.1465141133795675,0,0.5558445823186489
4,500,200,0.5995339473610369,8,7.366296893635949,-4.0,-3.841599513076904,0.2,1e-08,0.9756266543014916,0,0.20180895867683776,0,0.14777084061958745,0,2.21705354007696,0,-0.8460086378431434,0,-0.7244052296612293,0,-3.341724095446656
5,500,200,2.022292485049369,8,6.947056382443496,-4.0,-3.638199397456177,0.2,1e-08,-0.9785083096089424,0,0.5969297783057977,0,-0.052931939781648986,0,2.6882401504349613,0,-1.0842578544500021,0,0.8735693640328536,0,-4.079589216778943
6,500,200,3.7854942379144587,8,6.417210470226347,-4.0,-3.594701418417049,0.2,1e-08,-0.9673161825789651,0,0.5650299945866353,0,0.2422959825316804,0,3.6378367110069973,0,-1.776070529756531,0,0.6534951414223211,0,-4.112939656878692
7,500,200,0.7022808434014303,8,8.228216449402886,-4.0,-4.173590817602902,0.2,1e-08,-1.0440674726658192,0,0.5806078678246245,0,-0.40378691706787195,0,3.4112861673909434,0,-1.0611504073922216,0,0.02721806567790897,0,-6.209594199124927
8,500,200,2.3042852937708007,8,6.392515904943352,-4.0,-3.7573693027646273,0.2,1e-08,-0.9873069081797623,0,0.4223960234918834,0,0.3849498729435118,0,3.6354454337551423,0,-1.456949273315433,0,1.2363686113860108,0,-3.511248656928565
9,500,200,1.0184620072386668,8,8.45179058835056,-4.0,-4.196549934110086,0.2,1e-08,-0.9912460757849197,0,0.04979322242349921,0,-0.6754308314379273,0,4.596957587345002,0,-1.389614337745802,0,1.599699736526145,0,-6.308394719899517
10,500,200,1.854737880817506,8,7.686301320507215,-4.0,-4.013688446372276,0.2,1e-08,-1.0148470960119562,0,0.4723134443708147,0,0.8306676280871463,0,3.3221745061669665,0,-1.4156707993148876,0,-1.4025380584225464,0,-4.544564406371433
11,500,200,6.041689308942881,8,5.1944708518853915,-4.0,-2.3875931960370345,0.2,1e-08,-0.9380671320353946,0,1.0089737990489753,0,-0.09515994340006595,0,2.7919338769816924,0,-1.5069425817234978,0,-0.23638959583713154,0,-4.201900214960307
12,500,200,2.5306673244826148,8,6.33291445890927,-4.0,-3.0831043366714153,0.2,1e-08,-1.0635261877365818,0,0.4896452049949805,0,-0.35318136249135035,0,3.4489954381948866,0,-1.7281793443572924,0,-0.02878895417144965,0,-3.791858278837211
13,500,200,13.549702054413393,8,5.354629276409353,-4.0,-2.6324872976055946,0.2,1e-08,-1.0668695999896616,0,2.1285130870532947,0,-0.1562103410411963,0,3.2329272803455202,0,-2.861718740582518,0,-0.006908535971346397,0,-3.1939367863923223
14,500,200,1.038868187566936,8,8.599085805143392,-4.0,-4.025786723940411,0.2,1e-08,1.0183439373698544,0,0.587853812200593,0,0.44246172475630113,0,1.9589638531521754,0,-1.405732232732939,0,-3.149081371949721,0,-1.189901417898831
15,500,200,2.9630998878442596,8,6.306486551386825,-4.0,-3.2568778280173207,0.2,1e-08,1.027834990495836,0,0.250365010779139,0,-0.040447527775151565,0,3.7094013455434953,0,-1.6438834763550132,0,0.4062568838587154,0,-4.070153504507935
16,500,200,1.5499368753646394,8,7.693391213622315,-4.0,-3.4000354062630462,0.2,1e-08,-1.0304546377082207,0,0.3700880852765999,0,-0.3178784331528971,0,2.946454091759346,0,-1.4697961962844914,0,-1.4905430492607805,0,-3.6309413092422944
17,500,200,2.4649950384143704,8,6.8910796672265375,-4.0,-3.2891961431655696,0.2,1e-08,-1.0155619590591625,0,0.44896750542574204,0,0.008577900742611033,0,2.65159438483335,0,-1.317571754647318,0,0.23475811631207247,0,-3.385862622382788
18,500,200,4.319520349998284,8,5.7336728961214645,-4.0,-3.0977854914908556,0.2,1e-08,-1.012734754524806,0,0.7910993523097798,0,-0.1712919427063812,0,2.823852474950343,0,-1.6553320038596833,0,1.5040066174863558,0,-3.443373244820004
19,500,200,1.6874244250848482,8,7.099798286262979,-4.0,-3.553940509757346,0.2,1e-08,0.9893411122553973,0,0.0657604968414579,0,0.00382800305664697,0,3.067965246598169,0,-0.8990476912175968,0,0.006001393139321562,0,-5.016405906421299
