,ntrials,n_iters,mse,sens_sim,sens_fit,bias_sim,bias_fit,sigma_sim,sigma_fit,c_fit,prevresp_sim,prevresp_fit,prevconf_sim,prevconf_fit,prevconfprevresp_sim,prevconfprevresp_fit
0,500,50,5.755883148066335e-06,10,12.103532674410578,-5,-6.002161736471729,0,0.5520318509883773,-0.006035036149987792,1,1.6089503938151672,0,-0.3640261727865335,1,0.8663178154530691
1,500,50,0.08641388114402908,10,9.77034772473491,-5,-5.090364945337508,0,0.2896315131214488,-0.062463481965786605,1,1.0735511528453368,0,-0.11482072552984973,1,1.0934681781247457
2,500,50,6.342667153773528e-05,10,11.013854251249679,-5,-5.786178334832587,0,0.24562743824738265,0.00873372320872836,1,0.8557558188783362,0,0.2442574835687927,1,1.7098904391414669
3,500,50,1.129816597205489e-06,10,10.028823021368044,-5,-5.505186908700844,0,0.20349055309930436,0.0016615133157660221,1,0.9404476372346737,0,0.6598629638153011,1,1.225355676333037
4,500,50,0.000502372498539822,10,11.251998316454856,-5,-6.093681077961698,0,0.31932205490396587,-0.020675586479408606,1,0.6371836031602087,0,-0.00799749145745797,1,1.485505773274257
5,500,50,0.005773395695113253,10,10.33750200085137,-5,-5.315576844952965,0,0.25757149537576834,-0.028719183982501194,1,1.486263830737118,0,0.08392233132421503,1,0.7933905684034394
6,500,50,0.0014744551566738204,10,9.393789752185175,-5,-4.6270226509376435,0,0.2522653822729229,0.014355696222949634,1,1.2044961311835691,0,-0.09153150230956066,1,0.6198768706617523
7,500,50,0.027793726623062967,10,9.73573408431406,-5,-4.910292130733044,0,0.5484281071563588,-0.02854763235613408,1,0.7370287268960833,0,0.06777300942901072,1,1.4429374249390168
8,500,50,0.07432885164403874,10,9.15566469762124,-5,-5.192436718718973,0,0.19192184276400945,0.051939165540225,1,0.9284503915234679,0,0.6086452188644255,1,1.0247908527043237
9,500,50,0.00031579452524885265,10,10.932936418168307,-5,-5.530350551538825,0,0.17780521700123272,-0.008444191455312418,1,1.1154889395405516,0,0.15281599721048972,1,1.163893150766481
10,500,50,4.2651080058586095e-06,10,11.846737143393089,-5,-6.249812169884947,0,0.3353829283400121,0.01766817481769481,1,1.233445351726817,0,0.33103341120059615,1,1.0717595473282941
11,500,50,0.0006188242338042611,10,10.543236846595793,-5,-5.35968357367098,0,0.2769478180854817,-0.01628877339549856,1,1.1418828185503307,0,0.27254311969596634,1,0.7148209117289657
12,500,50,2.0677492667644872e-05,10,10.837117137822222,-5,-5.385180419852934,0,0.22918387986253178,-0.007215125509540466,1,1.1585865559860458,0,-0.19968612589819168,1,0.7355754285572956
13,500,50,0.11608660383749471,10,11.540415179753444,-5,-5.622711163082932,0,0.2827180260395007,0.10666312548720788,1,1.1726896677759722,0,0.06271064650411444,1,1.1202790333287387
14,500,50,0.0001222864034231983,10,10.425225110816395,-5,-5.5880514625031275,0,0.5206555893207916,0.008700205518956356,1,1.0274466832481912,0,0.5745060479083975,1,1.1279839814145503
